Date,Open,High,Low,Close,Adj Close,Volume
2022-07-20,6736.171875,6880.756836,6736.063965,6874.743164,6874.743164,182468200
2022-07-21,6874.783203,6893.375977,6809.715820,6864.130859,6864.130859,156437900
2022-07-22,6864.130859,6901.720215,6850.488770,6886.961914,6886.961914,199589800
2022-07-25,6887.041992,6908.191895,6858.407227,6858.407227,6858.407227,210616100
2022-07-26,6858.446777,6899.929199,6857.800781,6871.537109,6871.537109,320241300
2022-07-27,6871.497070,6911.899902,6861.446777,6898.215820,6898.215820,276772700
2022-07-28,6898.295898,6984.532227,6898.295898,6956.816895,6956.816895,287336500
2022-07-29,6956.896973,7032.353027,6951.123047,6951.123047,6951.123047,292504000
2022-08-01,6951.123047,7005.292969,6949.634766,6968.783203,6968.783203,238507600
2022-08-02,6968.783203,6991.392090,6902.629883,6988.157227,6988.157227,216232400
2022-08-03,6988.157227,7046.634766,6971.735840,7046.634766,7046.634766,225842100
2022-08-04,7046.634766,7075.560059,7025.054199,7057.348145,7057.348145,248154300
2022-08-05,7057.348145,7090.767090,7045.981934,7084.654785,7084.654785,173887000
2022-08-08,7084.654785,7100.808105,7050.824219,7086.849121,7086.849121,219012400
2022-08-09,7086.849121,7144.202148,7086.849121,7102.879883,7102.879883,263201500
2022-08-10,7102.879883,7104.034180,7021.672852,7086.235840,7086.235840,200438400
2022-08-11,7086.275879,7181.100098,7086.275879,7160.384766,7160.384766,246280600
2022-08-12,7160.384766,7164.669922,7113.579102,7129.276855,7129.276855,240074700
2022-08-15,7129.276855,7156.919922,7081.304199,7093.275879,7093.275879,228243500
2022-08-16,7093.275879,7147.970215,7080.752930,7133.453125,7133.453125,231209400
2022-08-18,7133.453125,7186.558105,7125.394043,7186.558105,7186.558105,239294800
2022-08-19,7186.598145,7230.110840,7172.434082,7172.434082,7172.434082,232876500
2022-08-22,7172.434082,7174.283203,7064.500977,7107.982910,7107.982910,204493100
2022-08-23,7107.862793,7183.258789,7106.834961,7163.265137,7163.265137,260557700
2022-08-24,7163.305176,7204.419922,7154.644043,7194.706055,7194.706055,221550000
2022-08-25,7194.706055,7210.163086,7146.312012,7174.208008,7174.208008,280881500
2022-08-26,7174.288086,7194.081055,7135.248047,7135.248047,7135.248047,273878800
2022-08-29,7135.087891,7135.087891,7015.347168,7132.044922,7132.044922,256806700
2022-08-30,7132.084961,7223.125977,7131.616211,7159.473145,7159.473145,308273200
2022-08-31,7159.513184,7178.589844,7073.222168,7178.589844,7178.589844,256857200
2022-09-01,7178.589844,7197.056152,7135.024902,7153.104004,7153.104004,252393900
2022-09-02,7153.104004,7207.615234,7146.811035,7177.179199,7177.179199,284827600
2022-09-05,7177.139160,7245.400879,7147.976074,7231.882813,7231.882813,309176400
2022-09-06,7231.922852,7287.700195,7230.792969,7233.154785,7233.154785,346421400
2022-09-07,7233.154785,7243.522949,7166.625977,7186.756836,7186.756836,328200100
2022-09-08,7186.756836,7277.883789,7186.563965,7232.017090,7232.017090,277671500
2022-09-09,7232.057129,7270.296875,7206.372070,7242.655762,7242.655762,273581100
2022-09-12,7242.695801,7276.419922,7218.463867,7254.463867,7254.463867,300778400
2022-09-13,7254.463867,7345.456055,7254.416016,7318.016113,7318.016113,285339000
2022-09-14,7317.895996,7317.895996,7219.319824,7278.078125,7278.078125,250200100
2022-09-15,7278.198242,7377.495117,7278.198242,7305.601074,7305.601074,274253400
2022-09-16,7305.601074,7306.163086,7163.073242,7168.870117,7168.870117,351796400
2022-09-19,7168.950195,7231.416016,7151.615234,7195.487793,7195.487793,252816300
2022-09-20,7195.567871,7252.186035,7186.246094,7196.951172,7196.951172,279749000
2022-09-21,7196.871094,7204.901855,7134.785156,7188.313965,7188.313965,246224300
2022-09-22,7188.193848,7225.550781,7127.457031,7218.905762,7218.905762,282626800
2022-09-23,7219.025879,7219.025879,7172.533203,7178.583008,7178.583008,205509000
